Tran,Plant,TransectDist,L_R,P.Dist,Height,Width1,Width 2
1,1,0,R,325,23,36,40
1,2,0,R,525,43,90,90
1,3,140,R,530,64,159,165
1,4,320,R,224,58,159,123
1,5,370,R,366,58,196,218
1,6,390,R,90,38,131,97
1,7,520,R,457,67,192,158
1,8,560,R,575,56,134,134
1,9,530,C,0,52,94,84
1,10,0,L,310,47,161,127
1,11,0,L,234,28,29,22
1,12,0,L,297,27,40,30
1,13,130,L,214,59,158,162
1,14,200,L,410,72,183,236
1,15,200,L,670,76,192,161
1,16,200,L,86,42,117,95
1,17,540,L,395,45,170,154
2,18,0,R,470,51,150,140
2,19,0,R,610,50,150,100
2,20,140,C,0,73,200,170
2,21,300,R,80,45,100,100
2,22,390,R,50,46,60,60
2,23,400,R,190,40,90,100
2,24,400,R,490,64,240,230
2,25,700,R,290,46,130,150
2,26,0,L,240,40,80,70
2,27,0,L,380,52,140,180
2,28,0,L,550,65,270,230
2,29,150,L,450,50,75,50
2,30,270,L,440,40,80,100
2,31,290,L,60,54,150,130
2,32,310,L,610,40,120,100
2,33,510,L,230,43,130,80
3,34,0,L,480,50,140,65
3,35,0,L,373,55,122,93
3,36,70,L,665,64,192,145
3,37,120,L,587,35,66,53
3,38,300,L,560,57,200,119
3,39,400,L,409,63,168,144
3,40,480,L,373,53,188,152
3,41,620,L,500,57,165,99
3,42,0,R,110,40,90,90
3,43,0,R,350,50,260,130
3,44,80,R,210,45,130,100
3,45,140,R,50,40,160,160
3,46,240,R,80,42,80,80
3,47,290,R,50,55,150,100
3,48,350,R,160,45,90,70
3,49,380,L,30,45,130,130
3,50,390,R,80,50,70,70
3,51,500,R,0,60,170,206
3,52,500,R,130,74,150,140
3,53,500,R,250,60,155,110
4,54,0,L,325,47,88,55
4,55,0,L,364,43,50,50
4,56,120,L,428,53,57,43
4,57,190,L,460,49,87,104
4,58,200,L,264,54,142,153
4,59,130,C,0,37,123,84
4,60,340,L,73,40,102,100
4,61,420,L,407,56,129,140
4,62,0,R,350,57,190,220
4,63,0,R,60,25,20,10
4,64,130,R,160,56,200,150
4,65,160,R,400,51,160,120
4,66,300,R,220,48,60,40
4,67,380,R,210,50,165,100
4,68,425,R,75,54,140,100
4,69,500,R,350,50,260,190
4,70,520,R,80,67,100,80
