 Site,Transect,L_R,Plant,Transect_Dist,P_Dist,Height,Cover
R2021O,1,R,1,45,130,22,1
R2021O,1,R,2,50,80,9,2
R2021O,1,R,3,80,45,13,1
R2021O,1,R,4,75,110,19,2
R2021O,1,L,5,0,200,21,2
R2021O,1,L,6,10,180,23,2
R2021O,1,L,7,0,190,21,2
R2021O,1,R,8,125,55,17,2
R2021O,1,R,9,145,12,10,1
R2021O,1,L,10,65,85,7,2
R2021O,1,L,11,70,137,22,2
R2021O,1,L,12,100,195,16,1
R2021O,1,L,13,80,225,15,3
R2021O,1,L,14,100,225,19,2
R2021O,1,R,15,150,120,26,1
R2021O,1,R,16,135,165,16,2
R2021O,1,R,17,110,180,15,2
R2021O,1,R,18,180,165,18,3
R2021O,2,L,19,5,35,12,3
R2021O,2,L,20,50,40,18,1
R2021O,2,C,21,55,0,24,2
R2021O,2,L,22,50,15,17,3
R2021O,2,L,23,60,95,22,2
R2021O,2,R,24,60,125,14,1
R2021O,2,R,25,115,15,22,2
R2021O,2,L,26,125,120,12,1
R2021O,2,R,27,160,145,14,3
R2021O,2,L,28,185,70,20,2
R2021O,2,L,29,140,120,13,1
R2021O,2,L,30,200,55,14,2
R2021O,3,R,31,55,75,20,2
R2021O,3,L,32,45,165,19,2
R2021O,3,R,33,65,140,24,2
R2021O,3,R,34,90,200,12,3
R2021O,3,L,35,0,55,15,2
R2021O,3,L,36,10,130,14,2
R2021O,3,R,37,66,155,17,2
R2021O,3,R,38,100,85,14,2
R2021O,3,L,39,200,195,18,2
R2021O,4,L,40,30,165,18,2
R2021O,4,L,41,30,190,22,2
R2021O,4,L,42,40,168,20,2
R2021O,4,L,43,50,170,16,2
R2021O,4,L,44,50,190,14,2
R2021O,4,R,45,50,10,22,2
R2021O,4,R,46,45,87,20,2
R2021O,4,R,47,55,77,20,3
R2021O,4,L,48,60,25,13,2
R2021O,4,C,49,80,0,17,1
R2021O,4,R,50,55,50,16,3
R2021O,4,C,51,85,0,19,1
R2021O,4,R,52,60,85,20,3
R2021O,4,R,53,75,65,14,3
R2021O,4,R,54,75,80,22,2
R2021O,4,R,55,65,75,19,3
R2021O,4,L,56,95,37,22,1
R2021O,4,L,57,115,30,19,1
R2021O,4,L,58,130,7,15,3
R2021O,4,L,59,130,25,16,1
R2021O,4,L,60,144,15,23,1
R2021O,4,L,61,90,115,14,2
R2021O,4,R,62,90,50,10,3
R2021O,4,L,63,80,125,15,3
R2021O,4,L,64,80,140,24,2
R2021O,4,L,65,100,150,26,2
R2021O,4,L,66,105,175,26,2
R2021O,4,L,67,110,130,17,2
R2021O,4,L,68,110,190,17,2
R2021O,4,R,69,110,137,20,2
R2021O,4,R,70,115,150,15,2
R2021O,4,R,71,120,45,15,3
R2021O,4,L,72,140,10,19,2
R2021O,4,L,73,140,27,19,2
R2021O,4,L,74,150,0,19,2
R2021O,4,L,75,160,16,19,2
R2021O,4,L,76,190,4,19,2
R2021O,4,L,77,195,5,19,2
R2021O,4,L,78,200,10,20,2
R2021O,4,R,79,195,18,18,2
R2021O,4,R,80,185,23,16,2
R2021O,4,R,81,200,30,14,3
R2021O,4,R,82,160,40,15,2
R2021O,4,R,83,160,55,15,3
R2021O,4,R,84,160,40,25,2
R2021O,4,R,85,170,85,19,2
R2021O,4,R,86,170,120,10,2
R2021O,4,R,87,190,109,10,2
R2021O,4,R,88,190,130,12,2
R2021O,4,L,89,160,165,19,2
R2021O,4,L,90,170,160,15,1
R2021O,4,L,91,190,198,22,2
R2021O,4,L,92,200,160,12,2
R2021O,4,L,93,200,175,15,2
R2021O,5,L,94,20,85,NA,NA
R2021O,5,L,95,30,125,NA,NA
R2021O,5,R,96,30,135,NA,NA
R2021O,5,R,97,35,125,NA,NA
R2021O,5,R,98,40,170,NA,NA
R2021O,5,R,99,50,180,NA,NA
R2021O,5,R,100,55,190,NA,NA
R2021O,5,R,101,85,190,NA,NA
R2021O,5,L,102,115,175,NA,NA
R2021O,5,R,103,150,80,NA,NA
R2021O,5,R,104,145,195,NA,NA
R2021O,6,R,105,15,45,NA,NA
R2021O,6,R,106,5,74,NA,NA
R2021O,6,R,107,45,80,NA,NA
R2021O,6,R,108,20,135,NA,NA
R2021O,6,R,109,40,120,NA,NA
R2021O,6,R,110,50,120,NA,NA
R2021O,6,R,111,55,110,NA,NA
R2021O,6,R,112,40,170,NA,NA
R2021O,6,R,113,10,170,NA,NA
R2021O,6,R,114,55,65,NA,NA
R2021O,6,R,115,85,55,NA,NA
R2021O,6,R,116,80,140,NA,NA
R2021O,6,R,117,80,170,NA,NA
R2021O,6,R,118,110,110,NA,NA
R2021O,6,R,119,115,100,NA,NA
R2021O,6,R,120,150,145,NA,NA
R2021O,6,L,121,160,50,NA,NA
R2021O,6,L,122,175,50,NA,NA
R2021O,6,L,123,200,45,NA,NA
R2021O,6,L,124,190,80,NA,NA
R2021O,6,L,125,195,165,NA,NA
R2021O,7,L,126,5,28,NA,NA
R2021O,7,L,127,10,6,NA,NA
R2021O,7,L,128,0,90,NA,NA
R2021O,7,L,129,0,115,NA,NA
R2021O,7,L,130,10,110,NA,NA
R2021O,7,L,131,20,110,NA,NA
R2021O,7,R,132,25,25,NA,NA
R2021O,7,R,133,35,15,NA,NA
R2021O,7,R,134,15,50,NA,NA
R2021O,7,L,135,45,3,NA,NA
R2021O,7,L,136,55,35,NA,NA
R2021O,7,L,137,35,65,NA,NA
R2021O,7,L,138,30,95,NA,NA
R2021O,7,L,139,32,102,NA,NA
R2021O,7,L,140,35,102,NA,NA
R2021O,7,C,141,45,95,NA,NA
R2021O,7,L,142,40,175,NA,NA
R2021O,7,L,143,50,165,NA,NA
R2021O,7,L,144,60,140,NA,NA
R2021O,7,R,145,60,30,NA,NA
R2021O,7,R,146,65,25,NA,NA
R2021O,7,R,147,90,55,NA,NA
R2021O,7,L,148,75,45,NA,NA
R2021O,7,L,149,110,30,NA,NA
R2021O,7,L,150,110,55,NA,NA
R2021O,7,L,151,90,100,NA,NA
R2021O,7,L,152,160,45,NA,NA
R2021O,7,L,153,160,60,NA,NA
R2021O,7,L,154,180,13,NA,NA
R2021O,7,L,155,185,25,NA,NA
R2021O,7,R,156,185,2,NA,NA
R2021O,7,R,157,190,20,NA,NA
R2021O,8,L,158,0,40,NA,NA
R2021O,8,L,159,20,30,NA,NA
R2021O,8,L,160,0,55,NA,NA
R2021O,8,L,161,30,65,NA,NA
R2021O,8,R,162,45,145,NA,NA
R2021O,8,R,163,35,160,NA,NA
R2021O,8,R,164,30,190,NA,NA
R2021O,8,R,165,30,200,NA,NA
R2021O,8,L,166,40,10,NA,NA
R2021O,8,L,167,55,20,NA,NA
R2021O,8,L,168,70,2,NA,NA
R2021O,8,R,169,80,115,NA,NA
R2021O,8,R,170,90,140,NA,NA
R2021O,8,R,171,95,165,NA,NA
R2021O,8,R,172,85,30,NA,NA
R2021O,8,R,173,60,170,NA,NA
R2021O,8,R,174,60,190,NA,NA
R2021O,8,R,175,60,200,NA,NA
R2021O,8,L,176,85,30,NA,NA
R2021O,8,L,177,80,135,NA,NA
R2021O,8,L,178,95,125,NA,NA
R2021O,8,L,179,130,80,NA,NA
R2021O,8,L,180,135,85,NA,NA
R2021O,8,R,181,160,25,NA,NA
R2021O,8,L,182,150,160,NA,NA
R2021O,8,C,183,170,0,NA,NA
R2021O,8,L,184,185,60,NA,NA
R2021O,8,L,185,200,25,NA,NA
R2021O,8,L,186,190,145,NA,NA
R2021O,8,L,187,200,80,NA,NA
R2021O,9,L,188,40,50,NA,NA
R2021O,9,R,189,50,80,NA,NA
R2021O,9,R,190,70,10,NA,NA
R2021O,9,L,191,65,25,NA,NA
R2021O,9,L,192,55,45,NA,NA
R2021O,9,L,193,55,90,NA,NA
R2021O,9,L,194,75,40,NA,NA
R2021O,9,R,195,50,180,NA,NA
R2021O,9,R,196,70,160,NA,NA
R2021O,9,R,197,70,120,NA,NA
R2021O,9,R,198,70,170,NA,NA
R2021O,9,R,199,90,160,NA,NA
R2021O,9,R,200,80,65,NA,NA
R2021O,9,L,201,100,65,NA,NA
R2021O,9,L,202,90,130,NA,NA
R2021O,9,L,203,120,100,NA,NA
R2021O,9,L,204,130,100,NA,NA
R2021O,9,L,205,125,10,NA,NA
R2021O,9,R,206,140,20,NA,NA
R2021O,9,R,207,145,15,NA,NA
R2021O,9,L,208,145,10,NA,NA
R2021O,9,C,209,165,0,NA,NA
R2021O,9,R,210,150,45,NA,NA
R2021O,9,R,211,155,35,NA,NA
R2021O,9,R,212,175,10,NA,NA
R2021O,9,R,213,165,40,NA,NA
R2021O,9,R,214,140,115,NA,NA
R2021O,9,R,215,170,130,NA,NA
R2021O,9,R,216,180,180,NA,NA
R2021O,9,R,217,200,10,NA,NA
R2021O,9,R,218,200,3,NA,NA
R2021O,9,L,219,170,100,NA,NA
R2021O,9,L,220,200,120,NA,NA
R2021O,10,L,221,80,40,NA,NA
R2021O,10,R,222,80,135,NA,NA
R2021O,10,L,223,90,55,NA,NA
R2021O,10,L,224,110,35,NA,NA
R2021O,10,L,225,130,20,NA,NA
R2021O,10,R,226,90,155,NA,NA
R2021O,10,R,227,120,110,NA,NA
R2021O,10,R,228,130,85,NA,NA
R2021O,10,L,229,150,50,NA,NA
R2021O,10,R,230,180,15,NA,NA
R2021O,10,R,231,185,95,NA,NA
R2021O,10,R,232,190,175,NA,NA
R2021O,10,R,233,200,190,NA,NA
R2021O,10,L,234,170,30,NA,NA
R2021O,10,L,235,200,10,NA,NA
