Site,Transect,Date,STARTTIME,ENDTIME,Distance along tape,Perpendicular distance,Flowering,Diameter,L/R,Poa cover
TEST,2,21/10/2011,15:36,16:11,71.6,0,0,30,C,3
TEST,2,21/10/2011,15:36,16:11,70.94,25,0,15,R,3
TEST,2,21/10/2011,15:36,16:11,70.65,25,0,12,R,3
TEST,2,21/10/2011,15:36,16:11,70.7,70,0,20,L,3
TEST,2,21/10/2011,15:36,16:11,70.65,85,0,12,L,3
TEST,2,21/10/2011,15:36,16:11,70.45,30,0,12,R,3
TEST,2,21/10/2011,15:36,16:11,70.3,58,1,28,R,3
TEST,2,21/10/2011,15:36,16:11,70.7,110,1,25,R,3
TEST,2,21/10/2011,15:36,16:11,70.2,60,1,50,L,3
TEST,2,21/10/2011,15:36,16:11,70,200,1,20,L,3
TEST,2,21/10/2011,15:36,16:11,69.6,24,0,27,R,3
TEST,2,21/10/2011,15:36,16:11,69.5,75,0,15,L,3
TEST,2,21/10/2011,15:36,16:11,69.1,80,0,10,R,3
TEST,2,21/10/2011,15:36,16:11,68.6,20,0,28,L,3
TEST,2,21/10/2011,15:36,16:11,68.4,25,0,16,L,3
TEST,2,21/10/2011,15:36,16:11,68.35,17,0,7,L,3
TEST,2,21/10/2011,15:36,16:11,68.3,160,0,27,L,3
TEST,2,21/10/2011,15:36,16:11,68,100,0,15,L,3
TEST,2,21/10/2011,15:36,16:11,67.8,65,0,15,R,3
TEST,2,21/10/2011,15:36,16:11,67.5,25,0,10,R,3
TEST,2,21/10/2011,15:36,16:11,67.5,100,0,27,L,2
TEST,2,21/10/2011,15:36,16:11,67.2,13,1,10,R,2
TEST,2,21/10/2011,15:36,16:11,66.98,7,1,17,R,3
TEST,2,21/10/2011,15:36,16:11,67.1,150,0,20,L,3
TEST,2,21/10/2011,15:36,16:11,67.1,160,0,16,L,3
TEST,2,21/10/2011,15:36,16:11,66.97,7,1,12,R,3
TEST,2,21/10/2011,15:36,16:11,66.35,54,1,4,R,2
TEST,2,21/10/2011,15:36,16:11,66.4,155,0,15,R,3
TEST,2,21/10/2011,15:36,16:11,66.35,54,0,6,R,3
TEST,2,21/10/2011,15:36,16:11,66.05,0,0,15,C,2
TEST,2,21/10/2011,15:36,16:11,65.9,40,0,11,L,2
TEST,2,21/10/2011,15:36,16:11,65.9,53,1,13,L,2
TEST,2,21/10/2011,15:36,16:11,65.85,110,1,17,L,2
TEST,2,21/10/2011,15:36,16:11,65.8,25,1,10,R,2
TEST,2,21/10/2011,15:36,16:11,65.65,9,0,0,R,2
TEST,2,21/10/2011,15:36,16:11,63.5,92,0,14,R,2
TEST,2,21/10/2011,15:36,16:11,65.5,115,0,12,R,2
TEST,2,21/10/2011,15:36,16:11,65.4,44,1,8,L,2
TEST,2,21/10/2011,15:36,16:11,65.2,34,1,30,L,2
